noise_ID,subset,length,augmented,origin_path
NPARK_00_006sp12.wav,tr,106667,True,tr/NPARK_00_006sp12.wav
STRAFFIC_00_029sp12.wav,tr,106667,True,tr/STRAFFIC_00_029sp12.wav
NPARK_00_016sp12.wav,tr,106667,True,tr/NPARK_00_016sp12.wav
TMETRO_00_022sp12.wav,tr,106667,True,tr/TMETRO_00_022sp12.wav
PCAFETER_00_018sp12.wav,tr,106667,True,tr/PCAFETER_00_018sp12.wav
OHALLWAY_00_015sp12.wav,tr,106667,True,tr/OHALLWAY_00_015sp12.wav
PSTATION_00_012sp12.wav,tr,106667,True,tr/PSTATION_00_012sp12.wav
TCAR_00_002sp12.wav,tr,106667,True,tr/TCAR_00_002sp12.wav
PCAFETER_00_000sp12.wav,tr,106667,True,tr/PCAFETER_00_000sp12.wav
OOFFICE_00_035sp12.wav,tr,106667,True,tr/OOFFICE_00_035sp12.wav
PSTATION_00_034sp12.wav,tr,106667,True,tr/PSTATION_00_034sp12.wav
PCAFETER_00_020sp12.wav,tr,106667,True,tr/PCAFETER_00_020sp12.wav
PRESTO_00_023sp12.wav,tr,106667,True,tr/PRESTO_00_023sp12.wav
NPARK_00_032sp12.wav,tr,106667,True,tr/NPARK_00_032sp12.wav
NPARK_00_020sp12.wav,tr,106667,True,tr/NPARK_00_020sp12.wav
NRIVER_00_023sp12.wav,tr,106667,True,tr/NRIVER_00_023sp12.wav
NPARK_00_013sp12.wav,tr,106667,True,tr/NPARK_00_013sp12.wav
DWASHING_00_034sp12.wav,tr,106667,True,tr/DWASHING_00_034sp12.wav
NFIELD_00_010sp12.wav,tr,106667,True,tr/NFIELD_00_010sp12.wav
DKITCHEN_00_033sp12.wav,tr,106667,True,tr/DKITCHEN_00_033sp12.wav
TMETRO_00_020sp12.wav,tr,106667,True,tr/TMETRO_00_020sp12.wav
OOFFICE_00_002sp12.wav,tr,106667,True,tr/OOFFICE_00_002sp12.wav
DLIVING_00_014sp12.wav,tr,106667,True,tr/DLIVING_00_014sp12.wav
NFIELD_00_026sp12.wav,tr,106667,True,tr/NFIELD_00_026sp12.wav
SPSQUARE_00_008sp12.wav,tr,106667,True,tr/SPSQUARE_00_008sp12.wav
TCAR_00_029sp12.wav,tr,106667,True,tr/TCAR_00_029sp12.wav
TBUS_00_016sp12.wav,tr,106667,True,tr/TBUS_00_016sp12.wav
TBUS_00_023sp12.wav,tr,106667,True,tr/TBUS_00_023sp12.wav
PSTATION_00_035sp12.wav,tr,106667,True,tr/PSTATION_00_035sp12.wav
NFIELD_00_008sp12.wav,tr,106667,True,tr/NFIELD_00_008sp12.wav
STRAFFIC_00_031sp12.wav,tr,106667,True,tr/STRAFFIC_00_031sp12.wav
DLIVING_00_000sp12.wav,tr,106667,True,tr/DLIVING_00_000sp12.wav
DLIVING_00_004sp12.wav,tr,106667,True,tr/DLIVING_00_004sp12.wav
OHALLWAY_00_023sp12.wav,tr,106667,True,tr/OHALLWAY_00_023sp12.wav
TCAR_00_028sp12.wav,tr,106667,True,tr/TCAR_00_028sp12.wav
TBUS_00_020sp12.wav,tr,106667,True,tr/TBUS_00_020sp12.wav
TBUS_00_015sp12.wav,tr,106667,True,tr/TBUS_00_015sp12.wav
OOFFICE_00_005sp12.wav,tr,106667,True,tr/OOFFICE_00_005sp12.wav
DWASHING_00_026sp12.wav,tr,106667,True,tr/DWASHING_00_026sp12.wav
TBUS_00_029sp12.wav,tr,106667,True,tr/TBUS_00_029sp12.wav
SPSQUARE_00_016sp12.wav,tr,106667,True,tr/SPSQUARE_00_016sp12.wav
NFIELD_00_017sp12.wav,tr,106667,True,tr/NFIELD_00_017sp12.wav
STRAFFIC_00_021sp12.wav,tr,106667,True,tr/STRAFFIC_00_021sp12.wav
DWASHING_00_005sp12.wav,tr,106667,True,tr/DWASHING_00_005sp12.wav
DLIVING_00_023sp12.wav,tr,106667,True,tr/DLIVING_00_023sp12.wav
STRAFFIC_00_026sp12.wav,tr,106667,True,tr/STRAFFIC_00_026sp12.wav
NPARK_00_030sp12.wav,tr,106667,True,tr/NPARK_00_030sp12.wav
NFIELD_00_034sp12.wav,tr,106667,True,tr/NFIELD_00_034sp12.wav
PCAFETER_00_021sp12.wav,tr,106667,True,tr/PCAFETER_00_021sp12.wav
